[mandelbrot serial]:		[1061.743] ms
Wrote image file mandelbrot-serial.ppm
Thread 2: [157.397] ms (150 rows, interleaved)
Thread 1: [158.204] ms (150 rows, interleaved)
Thread 6: [156.085] ms (150 rows, interleaved)
Thread 0: [157.506] ms (150 rows, interleaved)
Thread 4: [159.516] ms (150 rows, interleaved)
Thread 7: [155.526] ms (150 rows, interleaved)
Thread 5: [159.562] ms (150 rows, interleaved)
Thread 3: [162.679] ms (150 rows, interleaved)
Thread 2: [126.844] ms (150 rows, interleaved)
Thread 4: [128.622] ms (150 rows, interleaved)
Thread 0: [128.127] ms (150 rows, interleaved)
Thread 3: [129.174] ms (150 rows, interleaved)
Thread 1: [131.923] ms (150 rows, interleaved)
Thread 5: [130.691] ms (150 rows, interleaved)
Thread 6: [135.221] ms (150 rows, interleaved)
Thread 7: [142.952] ms (150 rows, interleaved)
Thread 4: [116.136] ms (150 rows, interleaved)
Thread 0: [115.583] ms (150 rows, interleaved)
Thread 5: [116.055] ms (150 rows, interleaved)
Thread 1: [117.698] ms (150 rows, interleaved)
Thread 3: [120.160] ms (150 rows, interleaved)
Thread 6: [119.444] ms (150 rows, interleaved)
Thread 7: [120.079] ms (150 rows, interleaved)
Thread 2: [121.796] ms (150 rows, interleaved)
Thread 1: [116.207] ms (150 rows, interleaved)
Thread 0: [113.862] ms (150 rows, interleaved)
Thread 2: [117.396] ms (150 rows, interleaved)
Thread 3: [118.162] ms (150 rows, interleaved)
Thread 7: [115.416] ms (150 rows, interleaved)
Thread 5: [118.536] ms (150 rows, interleaved)
Thread 6: [120.559] ms (150 rows, interleaved)
Thread 4: [121.547] ms (150 rows, interleaved)
Thread 1: [112.374] ms (150 rows, interleaved)
Thread 4: [112.822] ms (150 rows, interleaved)
Thread 3: [113.169] ms (150 rows, interleaved)
Thread 2: [113.320] ms (150 rows, interleaved)
Thread 6: [112.870] ms (150 rows, interleaved)
Thread 0: [113.012] ms (150 rows, interleaved)
Thread 5: [113.779] ms (150 rows, interleaved)
Thread 7: [126.295] ms (150 rows, interleaved)
[mandelbrot thread]:		[123.967] ms
Wrote image file mandelbrot-thread.ppm
				(8.56x speedup from 8 threads)
